"date_id","river","year","month","day","value"
"2014_01_01","duna",2014,1,1,98
"2014_01_02","duna",2014,1,2,86
"2014_01_03","duna",2014,1,3,83
"2014_01_04","duna",2014,1,4,81
"2014_01_05","duna",2014,1,5,70
"2014_01_06","duna",2014,1,6,70
"2014_01_07","duna",2014,1,7,76
"2014_01_08","duna",2014,1,8,85
"2014_01_09","duna",2014,1,9,88
"2014_01_10","duna",2014,1,10,92
"2014_01_11","duna",2014,1,11,89
"2014_01_12","duna",2014,1,12,90
"2014_01_13","duna",2014,1,13,86
"2014_01_14","duna",2014,1,14,85
"2014_01_15","duna",2014,1,15,92
"2014_01_16","duna",2014,1,16,90
"2014_01_17","duna",2014,1,17,94
"2014_01_18","duna",2014,1,18,105
"2014_01_19","duna",2014,1,19,107
"2014_01_20","duna",2014,1,20,98
"2014_01_21","duna",2014,1,21,94
"2014_01_22","duna",2014,1,22,104
"2014_01_23","duna",2014,1,23,118
"2014_01_24","duna",2014,1,24,139
"2014_01_25","duna",2014,1,25,127
"2014_01_26","duna",2014,1,26,120
"2014_01_27","duna",2014,1,27,125
"2014_01_28","duna",2014,1,28,106
"2014_01_29","duna",2014,1,29,102
"2014_01_30","duna",2014,1,30,101
"2014_01_31","duna",2014,1,31,104
"2014_02_01","duna",2014,2,1,106
"2014_02_02","duna",2014,2,2,104
"2014_02_03","duna",2014,2,3,113
"2014_02_04","duna",2014,2,4,117
"2014_02_05","duna",2014,2,5,110
"2014_02_06","duna",2014,2,6,101
"2014_02_07","duna",2014,2,7,98
"2014_02_08","duna",2014,2,8,101
"2014_02_09","duna",2014,2,9,96
"2014_02_10","duna",2014,2,10,96
"2014_02_11","duna",2014,2,11,109
"2014_02_12","duna",2014,2,12,128
"2014_02_13","duna",2014,2,13,140
"2014_02_14","duna",2014,2,14,164
"2014_02_15","duna",2014,2,15,152
"2014_02_16","duna",2014,2,16,141
"2014_02_17","duna",2014,2,17,135
"2014_02_18","duna",2014,2,18,128
"2014_02_19","duna",2014,2,19,122
"2014_02_20","duna",2014,2,20,112
"2014_02_21","duna",2014,2,21,125
"2014_02_22","duna",2014,2,22,129
"2014_02_23","duna",2014,2,23,122
"2014_02_24","duna",2014,2,24,117
"2014_02_25","duna",2014,2,25,116
"2014_02_26","duna",2014,2,26,116
"2014_02_27","duna",2014,2,27,108
"2014_02_28","duna",2014,2,28,106
"2014_03_01","duna",2014,3,1,101
"2014_03_02","duna",2014,3,2,91
"2014_03_03","duna",2014,3,3,84
"2014_03_04","duna",2014,3,4,82
"2014_03_05","duna",2014,3,5,77
"2014_03_06","duna",2014,3,6,71
"2014_03_07","duna",2014,3,7,79
"2014_03_08","duna",2014,3,8,78
"2014_03_09","duna",2014,3,9,74
"2014_03_10","duna",2014,3,10,65
"2014_03_11","duna",2014,3,11,58
"2014_03_12","duna",2014,3,12,53
"2014_03_13","duna",2014,3,13,56
"2014_03_14","duna",2014,3,14,58
"2014_03_15","duna",2014,3,15,57
"2014_03_16","duna",2014,3,16,61
"2014_03_17","duna",2014,3,17,62
"2014_03_18","duna",2014,3,18,87
"2014_03_19","duna",2014,3,19,122
"2014_03_20","duna",2014,3,20,122
"2014_03_21","duna",2014,3,21,116
"2014_03_22","duna",2014,3,22,111
"2014_03_23","duna",2014,3,23,93
"2014_03_24","duna",2014,3,24,97
"2014_03_25","duna",2014,3,25,120
"2014_03_26","duna",2014,3,26,134
"2014_03_27","duna",2014,3,27,143
"2014_03_28","duna",2014,3,28,134
"2014_03_29","duna",2014,3,29,117
"2014_03_30","duna",2014,3,30,105
"2014_03_31","duna",2014,3,31,95
"2014_04_01","duna",2014,4,1,91
"2014_04_02","duna",2014,4,2,78
"2014_04_03","duna",2014,4,3,93
"2014_04_04","duna",2014,4,4,96
"2014_04_05","duna",2014,4,5,97
"2014_04_06","duna",2014,4,6,89
"2014_04_07","duna",2014,4,7,85
"2014_04_08","duna",2014,4,8,96
"2014_04_09","duna",2014,4,9,94
"2014_04_10","duna",2014,4,10,101
"2014_04_11","duna",2014,4,11,112
"2014_04_12","duna",2014,4,12,124
"2014_04_13","duna",2014,4,13,122
"2014_04_14","duna",2014,4,14,100
"2014_04_15","duna",2014,4,15,91
"2014_04_16","duna",2014,4,16,94
"2014_04_17","duna",2014,4,17,105
"2014_04_18","duna",2014,4,18,106
"2014_04_19","duna",2014,4,19,99
"2014_04_20","duna",2014,4,20,94
"2014_04_21","duna",2014,4,21,91
"2014_04_22","duna",2014,4,22,108
"2014_04_23","duna",2014,4,23,117
"2014_04_24","duna",2014,4,24,111
"2014_04_25","duna",2014,4,25,114
"2014_04_26","duna",2014,4,26,114
"2014_04_27","duna",2014,4,27,119
"2014_04_28","duna",2014,4,28,121
"2014_04_29","duna",2014,4,29,121
"2014_04_30","duna",2014,4,30,135
"2014_05_01","duna",2014,5,1,153
"2014_05_02","duna",2014,5,2,154
"2014_05_03","duna",2014,5,3,147
"2014_05_04","duna",2014,5,4,142
"2014_05_05","duna",2014,5,5,167
"2014_05_06","duna",2014,5,6,178
"2014_05_07","duna",2014,5,7,164
"2014_05_08","duna",2014,5,8,148
"2014_05_09","duna",2014,5,9,143
"2014_05_10","duna",2014,5,10,151
"2014_05_11","duna",2014,5,11,148
"2014_05_12","duna",2014,5,12,154
"2014_05_13","duna",2014,5,13,189
"2014_05_14","duna",2014,5,14,202
"2014_05_15","duna",2014,5,15,195
"2014_05_16","duna",2014,5,16,212
"2014_05_17","duna",2014,5,17,307
"2014_05_18","duna",2014,5,18,456
"2014_05_19","duna",2014,5,19,479
"2014_05_20","duna",2014,5,20,450
"2014_05_21","duna",2014,5,21,368
"2014_05_22","duna",2014,5,22,322
"2014_05_23","duna",2014,5,23,304
"2014_05_24","duna",2014,5,24,287
"2014_05_25","duna",2014,5,25,275
"2014_05_26","duna",2014,5,26,277
"2014_05_27","duna",2014,5,27,252
"2014_05_28","duna",2014,5,28,243
"2014_05_29","duna",2014,5,29,301
"2014_05_30","duna",2014,5,30,411
"2014_05_31","duna",2014,5,31,411
"2014_06_01","duna",2014,6,1,370
"2014_06_02","duna",2014,6,2,310
"2014_06_03","duna",2014,6,3,261
"2014_06_04","duna",2014,6,4,223
"2014_06_05","duna",2014,6,5,220
"2014_06_06","duna",2014,6,6,208
"2014_06_07","duna",2014,6,7,203
