"date_id","river","year","month","day","value"
"2014_01_01","tisza",2014,1,1,98
"2014_01_02","tisza",2014,1,2,100
"2014_01_03","tisza",2014,1,3,99
"2014_01_04","tisza",2014,1,4,101
"2014_01_05","tisza",2014,1,5,100
"2014_01_06","tisza",2014,1,6,98
"2014_01_07","tisza",2014,1,7,99
"2014_01_08","tisza",2014,1,8,98
"2014_01_09","tisza",2014,1,9,96
"2014_01_10","tisza",2014,1,10,98
"2014_01_11","tisza",2014,1,11,102
"2014_01_12","tisza",2014,1,12,104
"2014_01_13","tisza",2014,1,13,107
"2014_01_14","tisza",2014,1,14,107
"2014_01_15","tisza",2014,1,15,110
"2014_01_16","tisza",2014,1,16,108
"2014_01_17","tisza",2014,1,17,106
"2014_01_18","tisza",2014,1,18,105
"2014_01_19","tisza",2014,1,19,104
"2014_01_20","tisza",2014,1,20,104
"2014_01_21","tisza",2014,1,21,104
"2014_01_22","tisza",2014,1,22,114
"2014_01_23","tisza",2014,1,23,136
"2014_01_24","tisza",2014,1,24,167
"2014_01_25","tisza",2014,1,25,199
"2014_01_26","tisza",2014,1,26,231
"2014_01_27","tisza",2014,1,27,234
"2014_01_28","tisza",2014,1,28,232
"2014_01_29","tisza",2014,1,29,219
"2014_01_30","tisza",2014,1,30,203
"2014_01_31","tisza",2014,1,31,189
"2014_02_01","tisza",2014,2,1,179
"2014_02_02","tisza",2014,2,2,167
"2014_02_03","tisza",2014,2,3,149
"2014_02_04","tisza",2014,2,4,139
"2014_02_05","tisza",2014,2,5,130
"2014_02_06","tisza",2014,2,6,126
"2014_02_07","tisza",2014,2,7,121
"2014_02_08","tisza",2014,2,8,119
"2014_02_09","tisza",2014,2,9,118
"2014_02_10","tisza",2014,2,10,118
"2014_02_11","tisza",2014,2,11,120
"2014_02_12","tisza",2014,2,12,128
"2014_02_13","tisza",2014,2,13,150
"2014_02_14","tisza",2014,2,14,180
"2014_02_15","tisza",2014,2,15,209
"2014_02_16","tisza",2014,2,16,229
"2014_02_17","tisza",2014,2,17,229
"2014_02_18","tisza",2014,2,18,223
"2014_02_19","tisza",2014,2,19,223
"2014_02_20","tisza",2014,2,20,210
"2014_02_21","tisza",2014,2,21,209
"2014_02_22","tisza",2014,2,22,214
"2014_02_23","tisza",2014,2,23,219
"2014_02_24","tisza",2014,2,24,225
"2014_02_25","tisza",2014,2,25,230
"2014_02_26","tisza",2014,2,26,226
"2014_02_27","tisza",2014,2,27,224
"2014_02_28","tisza",2014,2,28,222
"2014_03_01","tisza",2014,3,1,217
"2014_03_02","tisza",2014,3,2,206
"2014_03_03","tisza",2014,3,3,195
"2014_03_04","tisza",2014,3,4,185
"2014_03_05","tisza",2014,3,5,175
"2014_03_06","tisza",2014,3,6,166
"2014_03_07","tisza",2014,3,7,164
"2014_03_08","tisza",2014,3,8,160
"2014_03_09","tisza",2014,3,9,154
"2014_03_10","tisza",2014,3,10,144
"2014_03_11","tisza",2014,3,11,140
"2014_03_12","tisza",2014,3,12,134
"2014_03_13","tisza",2014,3,13,127
"2014_03_14","tisza",2014,3,14,117
"2014_03_15","tisza",2014,3,15,110
"2014_03_16","tisza",2014,3,16,103
"2014_03_17","tisza",2014,3,17,97
"2014_03_18","tisza",2014,3,18,94
"2014_03_19","tisza",2014,3,19,108
"2014_03_20","tisza",2014,3,20,111
"2014_03_21","tisza",2014,3,21,130
"2014_03_22","tisza",2014,3,22,153
"2014_03_23","tisza",2014,3,23,174
"2014_03_24","tisza",2014,3,24,187
"2014_03_25","tisza",2014,3,25,191
"2014_03_26","tisza",2014,3,26,187
"2014_03_27","tisza",2014,3,27,184
"2014_03_28","tisza",2014,3,28,186
"2014_03_29","tisza",2014,3,29,189
"2014_03_30","tisza",2014,3,30,184
"2014_03_31","tisza",2014,3,31,176
"2014_04_01","tisza",2014,4,1,166
"2014_04_02","tisza",2014,4,2,160
"2014_04_03","tisza",2014,4,3,152
"2014_04_04","tisza",2014,4,4,143
"2014_04_05","tisza",2014,4,5,135
"2014_04_06","tisza",2014,4,6,130
"2014_04_07","tisza",2014,4,7,127
"2014_04_08","tisza",2014,4,8,121
"2014_04_09","tisza",2014,4,9,114
"2014_04_10","tisza",2014,4,10,113
"2014_04_11","tisza",2014,4,11,117
"2014_04_12","tisza",2014,4,12,121
"2014_04_13","tisza",2014,4,13,127
"2014_04_14","tisza",2014,4,14,134
"2014_04_15","tisza",2014,4,15,137
"2014_04_16","tisza",2014,4,16,133
"2014_04_17","tisza",2014,4,17,127
"2014_04_18","tisza",2014,4,18,130
"2014_04_19","tisza",2014,4,19,130
"2014_04_20","tisza",2014,4,20,135
"2014_04_21","tisza",2014,4,21,146
"2014_04_22","tisza",2014,4,22,148
"2014_04_23","tisza",2014,4,23,146
"2014_04_24","tisza",2014,4,24,136
"2014_04_25","tisza",2014,4,25,132
"2014_04_26","tisza",2014,4,26,138
"2014_04_27","tisza",2014,4,27,142
"2014_04_28","tisza",2014,4,28,149
"2014_04_29","tisza",2014,4,29,147
"2014_04_30","tisza",2014,4,30,147
"2014_05_01","tisza",2014,5,1,145
"2014_05_02","tisza",2014,5,2,150
"2014_05_03","tisza",2014,5,3,145
"2014_05_04","tisza",2014,5,4,143
"2014_05_05","tisza",2014,5,5,143
"2014_05_06","tisza",2014,5,6,153
"2014_05_07","tisza",2014,5,7,148
"2014_05_08","tisza",2014,5,8,152
"2014_05_09","tisza",2014,5,9,158
"2014_05_10","tisza",2014,5,10,154
"2014_05_11","tisza",2014,5,11,143
"2014_05_12","tisza",2014,5,12,135
"2014_05_13","tisza",2014,5,13,131
"2014_05_14","tisza",2014,5,14,132
"2014_05_15","tisza",2014,5,15,155
"2014_05_16","tisza",2014,5,16,190
"2014_05_17","tisza",2014,5,17,182
"2014_05_18","tisza",2014,5,18,172
"2014_05_19","tisza",2014,5,19,190
"2014_05_20","tisza",2014,5,20,217
"2014_05_21","tisza",2014,5,21,239
"2014_05_22","tisza",2014,5,22,258
"2014_05_23","tisza",2014,5,23,275
"2014_05_24","tisza",2014,5,24,280
"2014_05_25","tisza",2014,5,25,269
"2014_05_26","tisza",2014,5,26,241
"2014_05_27","tisza",2014,5,27,214
"2014_05_28","tisza",2014,5,28,189
"2014_05_29","tisza",2014,5,29,177
"2014_05_30","tisza",2014,5,30,174
"2014_05_31","tisza",2014,5,31,184
"2014_06_01","tisza",2014,6,1,186
